time,ue,rnti,h_id,mcs,tbs,nrtx,rv,type
2025-12-05 21:24:01.423407,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.423854,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.424422,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.424910,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.425380,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.427377,0,0x4601,4,27,3521,0,0,PDSCH
2025-12-05 21:24:01.427894,0,0x4601,0,27,5889,0,0,PDSCH
2025-12-05 21:24:01.428457,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.428910,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.429407,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.429855,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.430474,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.430959,0,0x4601,12,27,2817,0,0,PDSCH
2025-12-05 21:24:01.432386,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.432952,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.433421,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.433922,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.434349,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.434916,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.435447,0,0x4601,2,27,5889,0,0,PDSCH
2025-12-05 21:24:01.437430,0,0x4601,15,27,3521,0,0,PDSCH
2025-12-05 21:24:01.437891,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.438395,0,0x4601,9,24,5252,0,0,PDSCH
2025-12-05 21:24:01.438932,0,0x4601,10,24,5252,0,0,PDSCH
2025-12-05 21:24:01.439415,0,0x4601,0,24,5252,0,0,PDSCH
2025-12-05 21:24:01.439902,0,0x4601,4,27,5889,0,0,PDSCH
2025-12-05 21:24:01.440402,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.440877,0,0x4601,1,27,2817,0,0,PDSCH
2025-12-05 21:24:01.442388,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.442893,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.443449,0,0x4601,7,27,5889,0,0,PDSCH
