pw,mean,std,count,median
1285.0,21.840897435897435,25.75638284079958,39,6.58
1290.0,22.956394736842103,25.40997460728118,38,6.58
1295.0,29.685589743589745,22.667115728712364,39,20.1
1300.0,31.581692307692304,22.4058972466882,39,27.5
1305.0,24.768923076923077,26.438765649569845,39,6.64
1310.0,23.453358974358974,26.13206014648147,39,7.29
1315.0,28.08507894736842,23.228616277832568,38,19.5
1320.0,24.759666666666664,25.132470650883967,39,9.52
1325.0,20.05448717948718,23.342535916075022,39,6.73
1330.0,30.172394736842104,22.37746919190296,38,23.65
1335.0,20.423217391304348,28.987103916234766,23,0.1
1340.0,16.667864864864864,23.211516574228316,37,4.98
1344.9999999999002,28.1775,23.566638485367402,38,16.95
1349.9999999999002,21.550974358974358,24.349930658592697,39,6.91
1354.9999999999,29.670051282051283,22.138860828569623,39,26.7
1359.9999999999,32.47707692307692,24.150554441041653,39,31.7
1365.0,21.55574358974359,24.308944500368526,39,7.26
1370.0,30.702384615384616,23.109437364322535,39,22.0
1375.0,14.933315789473685,23.54555330154635,38,3.71
1380.0,24.85825641025641,25.018277811819218,39,10.2
1385.0,27.97176923076923,24.221068039449868,39,17.7
1390.0,24.85197435897436,24.850266535144975,39,11.1
1395.0,23.946410256410257,24.763748440558437,39,9.31
1400.0,24.84753846153846,24.85046377502859,39,11.4
1405.0,26.309641025641024,24.829641121775552,39,15.2
1410.0,32.997076923076925,21.52241520195877,39,26.7
1415.0,21.89130769230769,25.449026167030485,39,6.57
1420.0,28.35871794871795,21.625626614528077,39,21.1
1424.9999999999002,24.137666666666668,25.354755941630536,39,9.46
1429.9999999999002,20.922864864864863,25.64549748457283,37,9.07
1434.9999999999,22.8224358974359,24.143675888527337,39,9.43
1439.9999999999,23.579,25.15160816769084,39,8.44
1444.9999999999,35.807487179487175,20.4703975688024,39,30.1
1450.0,26.315432432432434,27.26858870929511,37,13.5
1455.0,21.70451282051282,24.320984403631225,39,7.08
1460.0,18.6305641025641,22.70041784080413,39,7.57
1465.0,23.2973,24.58309884530286,30,13.65
1470.0,20.68548717948718,24.240646642052088,39,6.72
1475.0,30.364921052631576,23.97343711714729,38,24.05
1480.0,35.50220512820513,20.695165802389557,39,29.9
1485.0,19.685615384615385,24.611848788118916,39,2.38
1490.0,25.516333333333332,23.872563915764903,39,16.3
1495.0,27.979000000000003,23.699053645329606,39,17.9
1500.0,21.64165789473684,24.58759019469992,38,6.92
1504.9999999999002,22.043052631578945,25.69472381842745,38,5.355
1509.9999999999002,16.094842105263158,24.309205461935846,38,1.0445
1514.9999999999002,27.22191666666667,25.27857003683442,36,20.2
1519.9999999999,25.910289473684212,24.689950482044953,38,12.3
1524.9999999999,29.007897435897437,23.09596348281946,39,17.2
1530.0,22.753384615384615,24.07052530379862,39,9.31
1535.0,30.73223076923077,21.88927142215365,39,28.8
1540.0,21.974128205128206,25.445112276158042,39,6.59
1545.0,31.318589743589744,22.664836181694533,39,24.8
1550.0,28.080763157894737,24.26303369262419,38,15.600000000000001
1555.0,27.948128205128207,25.5800757428403,39,17.7
1560.0,21.98251282051282,25.189624079299204,39,6.59
1565.0,29.234111111111112,24.308402903480697,27,31.7
1570.0,25.03725641025641,25.295682766368138,39,12.0
1575.0,23.452102564102564,26.220279636184852,39,6.54
1580.0,24.14466666666667,25.118443869766224,39,9.44
1584.9999999999002,13.600222222222222,24.969680653728958,36,0.304
1589.9999999999002,23.96071794871795,25.792460541537615,39,8.28
1594.9999999999002,21.120051282051282,25.72403977334157,39,5.12
1599.9999999999,23.83566666666667,25.154114155837654,39,9.41
1604.9999999999,29.407615384615383,23.23168598183749,39,19.2
1609.9999999999,22.178833333333333,24.120069375048296,36,11.600000000000001
1615.0,24.65121052631579,30.098167043819476,19,0.543
1620.0,32.10071052631579,21.689040814533058,38,25.7
1625.0,26.00030769230769,26.07453609937425,39,12.3
1630.0,23.23076315789474,24.66780821718231,38,8.305
1635.0,28.399897435897437,23.727652230206527,39,23.7
1640.0,23.920128205128204,26.17448055401682,39,7.52
1645.0,26.05927777777778,30.572985401005006,18,0.0275
1650.0,36.04168421052632,20.12585924988621,38,29.45
1655.0,21.84602564102564,25.32332944299135,39,6.21
1660.0,32.28692307692308,21.60559219323189,39,24.1
1665.0,26.484897435897437,24.81562832782989,39,16.3
1669.9999999999002,25.776605263157894,26.953100763843807,38,11.600000000000001
1674.9999999999002,27.589410256410257,23.783722749545756,39,16.8
1679.9999999999002,32.758717948717944,23.28577698142967,39,28.5
1684.9999999999,24.316846153846154,25.654641494011074,39,8.32
1689.9999999999,24.68045945945946,28.088880092776325,37,10.3
